CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50101238,FIELDS GOOD CHICKEN,Manhattan,88,UNIVERSITY PLACE,10003
50103172,A & B FOODS,Queens,12620,ROCKAWAY BLVD,11420
50018697,LEXINGTON PIZZA PARLOR,Manhattan,1590,LEXINGTON AVE,10029
41330376,JAKE'S SALOON,Manhattan,202,9 AVENUE,10011
40395892,THE STUMBLE INN,Manhattan,1454,2 AVENUE,10021
41040365,FANELLI CAFE,Manhattan,94,PRINCE STREET,10012
41628099,LLOYD'S CARROT CAKE,Manhattan,1553,LEXINGTON AVENUE,10029
40669697,LE MONDE,Manhattan,2883,BROADWAY,10025
41698643,NORTHERN DUMPLING KING,Queens,41-42,MAIN STREET,11355
50005772,NO 1 RESTAURANT,Brooklyn,824,KNICKERBOCKER AVENUE,11207
41600457,TABATA NOODLE RESTAURANT,Manhattan,540,9 AVENUE,10018
50044270,I CHOPSTICKS,Queens,18520,HORACE HARDING EXPY,11365
50106501,,Brooklyn,1818,86 STREET,11214
41576098,JR PRIMOS RESTAURANT,Bronx,698,ALLERTON AVENUE,10467
50047834,SUBWAY,Brooklyn,7810,FLATLANDS AVENUE,11236
50101714,THE ATTIC,Queens,13693,37TH AVE,11354
50106690,,Queens,13684,ROOSEVELT AVE,11354
50099676,MINA'S,Queens,2225,JACKSON AVE,11101
41396666,STAND 110 B,Bronx,1,EAST  161 STREET,10451
50014293,EL PASO MEXICAN GRILL,Brooklyn,387A,FLATBUSH AVENUE,11238
50065334,MAGICO AMANECER,Queens,4018,108TH ST,11368
50095435,BLAZE PIZZA,Queens,18712,HORACE HARDING EXPY,11365
50102896,KENNEDY FRIED CHICKEN,Manhattan,1774,LEXINGTON AVENUE,10029
41717443,CHINA WOK,Queens,20105,LINDEN BOULEVARD,11412
50092067,JUSTINO'S,Manhattan,881,10 AVENUE,10019
41092078,AQUAVIT,Manhattan,65,EAST   55 STREET,10022
40582103,MAMA'S FRIED CHICKEN,Manhattan,2158,8 AVENUE,10026
50086567,GFG BAKERY CAFE,Manhattan,32,BROADWAY,10004
