,alias,categories,coordinates,is_closed,location,name,rating,review_count,transactions,url,permanently closed,outdoor_seating,price_cat,delivery,restaurant_reservation,pickup,zip_code,latitude,longitude,total_restaurants_in_zip,Population Density,distance_to_subway
690,bund-on-broadway-astoria,Chinese,"{'latitude': 40.7631578922095, 'longitude': -73.9282292}",False,"{'address1': '25-08 Broadway', 'address2': '', 'address3': None, 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['25-08 Broadway', 'Astoria, NY 11106']}",Bund On Broadway,4.0,208,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/bund-on-broadway-astoria?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,1,1,11106,40.7631578922095,-73.9282292,179.0,44344.0,0.2727823369090485
691,van-da-new-york,South Asian,"{'latitude': 40.72341, 'longitude': -73.98307}",False,"{'address1': '234 E 4th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['234 E 4th St', 'New York, NY 10009']}",Van Da,4.0,103,[],https://www.yelp.com/biz/van-da-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,0,0,0,10009,40.72341,-73.98307,319.0,100237.0,0.27880974819321863
692,soda-bar-brooklyn,Bars,"{'latitude': 40.678246, 'longitude': -73.968398}",True,"{'address1': '629 Vanderbilt Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['629 Vanderbilt Ave', 'Brooklyn, NY 11238']}",Soda Bar,3.5,332,[],https://www.yelp.com/biz/soda-bar-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,one,0,0,0,11238,40.678246,-73.968398,271.0,46994.1,0.2985597813824249
693,tonys-di-napoli-new-york-7,European,"{'latitude': 40.76435, 'longitude': -73.96408}",False,"{'address1': '1081 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['1081 3rd Ave', 'New York, NY 10065']}",Tony's Di Napoli,4.0,686,"['delivery', 'pickup']",https://www.yelp.com/biz/tonys-di-napoli-new-york-7?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10065,40.76435,-73.96408,182.0,82215.9,0.118765251132225
694,the-wicked-monk-brooklyn-3,American (New),"{'latitude': 40.616988, 'longitude': -74.034023}",False,"{'address1': '9510 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['9510 3rd Ave', 'Brooklyn, NY 11209']}",The Wicked Monk,4.0,247,[],https://www.yelp.com/biz/the-wicked-monk-brooklyn-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,0,0,0,11209,40.616988,-74.034023,278.0,33569.8,0.3501101954665133
695,milu-new-york-2,Chinese,"{'latitude': 40.741084, 'longitude': -73.985324}",False,"{'address1': '333 Park Ave S', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['333 Park Ave S', 'New York, NY 10010']}",Milu,4.5,16,"['pickup', 'delivery']",https://www.yelp.com/biz/milu-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,1,0,1,10010,40.741084,-73.985324,269.0,78604.4,0.13268217160166546
696,samesa-brooklyn,Middle Eastern/Mediterranean,"{'latitude': 40.7116966247559, 'longitude': -73.9492492675781}",True,"{'address1': '495 Lorimer St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['495 Lorimer St', 'Brooklyn, NY 11211']}",Samesa,4.0,86,"['delivery', 'pickup']",https://www.yelp.com/biz/samesa-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,11211,40.7116966247559,-73.9492492675781,401.0,39908.0,0.1329132423259689
697,pupusas-ridgewood-flushing,Latin American,"{'latitude': 40.70117, 'longitude': -73.89503}",False,"{'address1': '71-20 Fresh Pond Rd', 'address2': '', 'address3': None, 'city': 'Flushing', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['71-20 Fresh Pond Rd', 'Flushing, NY 11385']}",Pupusas Ridgewood,4.5,16,[],https://www.yelp.com/biz/pupusas-ridgewood-flushing?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,0,0,0,11385,40.70117,-73.89503,318.0,27472.6,0.1834009961359122
698,mooncake-foods-new-york,South Asian,"{'latitude': 40.7237776, 'longitude': -74.004562}",False,"{'address1': '112 6th Ave', 'address2': 'Between Watts St & Broome St', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['112 6th Ave', 'Between Watts St & Broome St', 'New York, NY 10013']}",Mooncake Foods,4.0,517,"['pickup', 'delivery']",https://www.yelp.com/biz/mooncake-foods-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,10013,40.7237776,-74.004562,537.0,48772.7,0.11700832691122454
699,el-jeffe-brooklyn,Mexican,"{'latitude': 40.6801601, 'longitude': -73.9419752}",False,"{'address1': '1483 Fulton St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1483 Fulton St', 'Brooklyn, NY 11216']}",El Jeffe,4.5,258,"['delivery', 'pickup']",https://www.yelp.com/biz/el-jeffe-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,11216,40.6801601,-73.9419752,212.0,58197.9,0.12433744696669871
700,saxon-parole-new-york-3,Bakeries and Desserts,"{'latitude': 40.725178, 'longitude': -73.9925391}",True,"{'address1': '316 Bowery', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['316 Bowery', 'New York, NY 10012']}",Saxon + Parole,4.0,775,[],https://www.yelp.com/biz/saxon-parole-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,0,0,0,10012,40.725178,-73.9925391,449.0,76855.1,0.1621545787964309
701,terravita-new-york-3,American (Casual),"{'latitude': 40.84807, 'longitude': -73.93803}",False,"{'address1': '4193 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10033', 'country': 'US', 'state': 'NY', 'display_address': ['4193 Broadway', 'New York, NY 10033']}",Terravita,4.5,189,"['delivery', 'pickup']",https://www.yelp.com/biz/terravita-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10033,40.84807,-73.93803,131.0,100108.6,0.11172977745375443
702,grand-sichuan-ny-ii-rego-park,Chinese,"{'latitude': 40.7274381816387, 'longitude': -73.8557088375092}",False,"{'address1': '98-108 Queens Blvd', 'address2': '', 'address3': '', 'city': 'Rego Park', 'zip_code': '11374', 'country': 'US', 'state': 'NY', 'display_address': ['98-108 Queens Blvd', 'Rego Park, NY 11374']}",Grand Sichuan NY II,4.0,230,"['delivery', 'pickup']",https://www.yelp.com/biz/grand-sichuan-ny-ii-rego-park?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,11374,40.7274381816387,-73.8557088375092,92.0,44728.9,0.3180332366686492
703,the-supply-house-new-york-2,American (Casual),"{'latitude': 40.7775579, 'longitude': -73.9521892}",False,"{'address1': '1647 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1647 2nd Ave', 'New York, NY 10028']}",The Supply House,4.0,346,"['pickup', 'delivery']",https://www.yelp.com/biz/the-supply-house-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10028,40.7775579,-73.9521892,208.0,146955.3,0.047436082250847465
704,robertas-brooklyn-2,European,"{'latitude': 40.705043534338, 'longitude': -73.93357123374}",False,"{'address1': '261 Moore St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['261 Moore St', 'Brooklyn, NY 11206']}",Roberta's,4.0,2923,"['delivery', 'pickup']",https://www.yelp.com/biz/robertas-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11206,40.705043534338,-73.93357123374,202.0,57987.2,0.058208002964089574
705,jewel-bako-new-york,Japanese,"{'latitude': 40.72699, 'longitude': -73.98922}",True,"{'address1': '239 E 5th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['239 E 5th St', 'New York, NY 10003']}",Jewel Bako,3.5,541,[],https://www.yelp.com/biz/jewel-bako-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,four,0,0,0,10003,40.72699,-73.98922,714.0,98998.8,0.13596037755443738
